Project Name,Address,SAMIS Project ID,Building ID,Management name,BIN (NYC DOB),Floodplain,Tract GEOID (2020 Census),School district,School district SDL code,Latitude,Longitude,County,Total project units,Owner name,Number of bldgs in project,Building units,Date in service,Construction Type (New / Rehab),Tax Parcel Print Key,Congressional District (current),Assembly District (current),State Senate District (current),x,y
ANTI ABANDONMENT III,"114 MARK AVE, SYRACUSE, 13205",19900885-01307,0029464,CITY OF SYRACUSE DEPARTMENT OF C.D.,NA (Outside NYC),,36067005400,SYRACUSE CITY SD,421800,43.02507674,-76.1498972,ONONDAGA,68,NEAR WESTSIDE TOWNHOUSES DEVELOPMENT LP,32,2,8/1/1991,NEW/REHAB,84.00-25-11,22,128,48,406311.45463042136,4764241.051588064
ANTI ABANDONMENT III,"1555 S SALINA ST, SYRACUSE, 13205",19900885-01307,0029465,CITY OF SYRACUSE DEPARTMENT OF C.D.,NA (Outside NYC),,36067005300,SYRACUSE CITY SD,421800,43.03068799,-76.1475201,ONONDAGA,68,NEAR WESTSIDE TOWNHOUSES DEVELOPMENT LP,32,2,3/7/1994,NEW/REHAB,85.00-11-18,22,128,48,406513.64905479935,4764861.533435718
ANTI ABANDONMENT III,"451-457 MIDLAND AVE, SYRACUSE, 13202",19900885-01307,0066675,CITY OF SYRACUSE DEPARTMENT OF C.D.,NA (Outside NYC),100-year,36067005200,SYRACUSE CITY SD,421800,43.0347774,-76.15566793,ONONDAGA,68,NEAR WESTSIDE TOWNHOUSES DEVELOPMENT LP,32,16,11/12/1992,NEW/REHAB,94.00-23-16.1,22,128,48,405856.1057441145,4765324.770042216
ANTI ABANDONMENT III,"2317 MIDLAND AVE, SYRACUSE, 13205",19900885-01307,0083846,CITY OF SYRACUSE DEPARTMENT OF C.D.,NA (Outside NYC),,36067005900,SYRACUSE CITY SD,421800,43.01698718,-76.14801748,ONONDAGA,68,NEAR WESTSIDE TOWNHOUSES DEVELOPMENT LP,32,1,7/1/1991,NEW/REHAB,76.00-18-32,22,128,48,406452.3249669932,4763340.607810392
APARTMENTS AT 201 WARREN STREET,"201 WARREN ST, HUDSON, 12534",19970447-01186,0080968,"GALVAN ASSET MANAGEMENT, INC.",NA (Outside NYC),,36021001300,HUDSON CITY SD,101300,42.25440596,-73.79335434,COLUMBIA,8,HOUSING RESOURCES OF COLUMBIA COUNTY,1,8,1/30/2000,REHAB,109.43-2-58,19,106,41,599533.2086784991,4678728.065265764
APARTMENTS AT THE BELMONT,"48 SCHUYLER ST, BELMONT, 14813",20070025-01652,0149081,ARBOR HOUSING AND DEVELOPMENT,NA (Outside NYC),Possibly 500-year,36003950600,GENESEE VALLEY CSD,20702,42.22325096,-78.0327169,ALLEGANY,19,BELMONT APARTMENT ASSOCIATES LLC,1,19,7/27/2009,REHAB,172.13-1-22,23,148,58,249705.92233386953,4679017.767427766
APARTMENTS AT THE LYCEUM,"87 SWINBURNE ST, BUFFALO, 14212",20210446-02261,0264579,COMMUNITY SERVICES FOR EVERY1,,,36029002400,BUFFALO CITY SD,140600,42.89436805,-78.82101862,ERIE,42,COMMUNITY SERVICES SIXTH HOUSING LLC,1,42,8/22/2024,REHAB,112.31-6-15.1,26,143,63,188004.80523476197,4756171.1860510595
APARTMENTS ON SEVENTH,"2560 ADAM CLAYTON POWELL BLVD, NEW YORK, 10039",20030443-01357,0127493,WINN COMPANIES,1087428,,36061023400,NYC GEOG DIST # 5 - MANHATTAN,310500,40.82387356,-73.93795887,NEW YORK,25,201 WEST 148TH STREET LLC,1,25,2/27/2006,NEW,1-2034-29,13,71,30,589557.3808037393,4519748.305176799
APEX II,"512-514 UNION AVE, NORTH HEMPSTEAD, 11590",20060040-01663,0165155,STANAN MANAGEMENT CORP,NA (Outside NYC),,36059304204,WESTBURY UFSD,280401,40.75684069,-73.58041225,NASSAU,35,"APEX II, LLC",1,35,12/30/2008,NEW,10.00-242-228,3,13,6,619829.0236076611,4512733.886925404
APEX SENIOR CITIZEN'S HOUSING,"498 UNION AVE, NORTH HEMPSTEAD, 11590",19980477-01052,0096280,STANAN MANAGEMENT CORP,NA (Outside NYC),,36059304204,WESTBURY UFSD,280401,40.75627036,-73.58085374,NASSAU,38,APEX SENIOR CITIZENS HOUSING LP,1,38,3/31/2003,REHAB,10.00-242-231,3,13,6,619792.7797751357,4512669.971809868
APPLEWOOD MANOR,"5554 W GENESEE ST, CAMILLUS, 13031",20176006-02117,0054921,,NA (Outside NYC),,36067012400,WEST GENESEE CSD,420101,43.04074267,-76.28715796,ONONDAGA,24,CAMILLUS HOUSING COMPANY I L.P.,1,24,12/2/2018,REHAB,31.00-7-39.3,22,126,50,395154.60368049436,4766143.077189886
APPLEWOOD MANOR (CAMILLUS HOUSING CO. I),"5554 W GENESEE ST, CAMILLUS, 13031",19940371-00674,0054921,TWO PLUS FOUR MANAGEMENT CO.,NA (Outside NYC),,36067012400,WEST GENESEE CSD,420101,43.04074267,-76.28715796,ONONDAGA,24,CAMILLUS HOUSING COMPANY I L.P.,1,24,4/30/1996,NEW,31.00-7-39.3,22,126,50,395154.60368049436,4766143.077189886
APPLEYARD TERRACE TOWNHOMES,"13-15 CROSS ST, JAMESTOWN, 14701",20050254-01520,0170046,C.O.D.E. INC.,NA (Outside NYC),,36013030500,JAMESTOWN CITY SD,61700,42.09898295,-79.23119073,CHAUTAUQUA,20,"APPLEYARD TERRACE, L.P.",2,2,10/31/2006,NEW,"387.34-4-1, 387.34-4-43",23,150,57,150093.8763605521,4669436.340716809
APPLEYARD TERRACE TOWNHOMES,"600 E 2ND ST, JAMESTOWN, 14701",20050254-01520,0170047,C.O.D.E. INC.,NA (Outside NYC),,36013030500,JAMESTOWN CITY SD,61700,42.09902979,-79.23234734,CHAUTAUQUA,20,"APPLEYARD TERRACE, L.P.",2,18,10/31/2007,NEW,"387.34-4-2, 387.34-4-3, 387.34-4-4, 387.34-4-5, 387.34-4-6, 387.34-4-7",23,150,57,149998.46878278296,4669446.288472209
APPLEYARD TERRACE TOWNHOMES - PHASE II,"21 CRESCENT ST, JAMESTOWN, 14701",20070042-01636,0057467,CODE INC,NA (Outside NYC),,36013030500,JAMESTOWN CITY SD,61700,42.09954188,-79.23049727,CHAUTAUQUA,12,"APPLEYARD TERRACE II, L.P.",3,1,2/28/2009,NEW,387.34-4-11,23,150,57,150154.3123419003,4669495.57170639
APPLEYARD TERRACE TOWNHOMES - PHASE II,"1-15 CRESCENT ST, JAMESTOWN, 14701",20070042-01636,0163332,CODE INC,NA (Outside NYC),,36013030500,JAMESTOWN CITY SD,61700,42.09902669,-79.23099049,CHAUTAUQUA,12,"APPLEYARD TERRACE II, L.P.",3,9,2/28/2009,NEW,"387.34-4-40, 387.34-4-41",23,150,57,150110.6795704548,4669440.37708944
APPLEYARD TERRACE TOWNHOMES - PHASE II,"303-305 WINSOR ST, JAMESTOWN, 14701",20070042-01636,0163333,CODE INC,NA (Outside NYC),,36013030500,JAMESTOWN CITY SD,61700,42.09989122,-79.23031408,CHAUTAUQUA,12,"APPLEYARD TERRACE II, L.P.",3,2,7/28/2009,NEW,387.34-4-9,23,150,57,150171.38824452786,4669533.6185738705
APRIL MEADOWS,"100 APRIL WAY, GENESEO, 14454",19990058-00903,0091922,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36051030203,GENESEO CSD,240401,42.8007065,-77.79588781,LIVINGSTON,24,"APRIL MEADOWS, L.P.",6,4,10/3/2000,NEW,81.10-1-1.112,24,133,54,271369.5552366848,4742475.723149956
APRIL MEADOWS,"200 APRIL WAY, GENESEO, 14454",19990058-00903,0091923,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36051030203,GENESEO CSD,240401,42.8007595,-77.79615081,LIVINGSTON,24,"APRIL MEADOWS, L.P.",6,4,11/13/2000,NEW,81.10-1-1.112,24,133,54,271348.2427133325,4742482.322757114
APRIL MEADOWS,"300 APRIL WAY, GENESEO, 14454",19990058-00903,0091924,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36051030203,GENESEO CSD,240401,42.8003415,-77.79609881,LIVINGSTON,24,"APRIL MEADOWS, L.P.",6,4,10/3/2000,NEW,81.10-1-1.112,24,133,54,271350.9547650937,4742435.760757019
APRIL MEADOWS,"400 APRIL WAY, GENESEO, 14454",19990058-00903,0091925,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36051030203,GENESEO CSD,240401,42.8007625,-77.79614481,LIVINGSTON,24,"APRIL MEADOWS, L.P.",6,4,11/13/2000,NEW,81.10-1-1.112,24,133,54,271348.74444230687,4742482.639638342
APRIL MEADOWS,"500 APRIL WAY, GENESEO, 14454",19990058-00903,0091926,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),Possibly 100-year,36051030203,GENESEO CSD,240401,42.8004435,-77.79663081,LIVINGSTON,24,"APRIL MEADOWS, L.P.",6,4,11/13/2000,NEW,81.10-1-1.112,24,133,54,271307.82410846144,4742448.532211751
APRIL MEADOWS,"600 APRIL WAY, GENESEO, 14454",19990058-00903,0091927,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),Possibly 100-year,36051030203,GENESEO CSD,240401,42.8007275,-77.79662681,LIVINGSTON,24,"APRIL MEADOWS, L.P.",6,4,11/13/2000,NEW,81.10-1-1.112,24,133,54,271309.1980434506,4742480.060902302
ARBOR HILL REDEVELOPMENT,"96 1ST ST, ALBANY, 12210",20040411-01469,0163949,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65823382,-73.75525452,ALBANY,54,SWAN STREET HOMES LLC,11,12,10/31/2006,NEW,65.81-1-4,20,109,46,602018.3222542289,4723614.363762998
ARBOR HILL REDEVELOPMENT,"110 1ST ST, ALBANY, 12210",20040411-01469,0163950,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65851624,-73.75579259,ALBANY,54,SWAN STREET HOMES LLC,11,4,8/31/2006,NEW,65.73-4-25,20,109,46,601973.7603481531,4723645.075585458
ARBOR HILL REDEVELOPMENT,"225 1ST ST, ALBANY, 12210",20040411-01469,0163951,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.6613388,-73.76002146,ALBANY,54,SWAN STREET HOMES LLC,11,4,5/31/2007,NEW,65.65-3-53,20,109,46,601622.5653950153,4723953.411183199
ARBOR HILL REDEVELOPMENT,"73 2ND ST, ALBANY, 12210",20040411-01469,0163952,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65917289,-73.75436596,ALBANY,54,SWAN STREET HOMES LLC,11,4,7/31/2007,NEW,65.74-3-33,20,109,46,602089.6124019031,4723719.714363826
ARBOR HILL REDEVELOPMENT,"88 2ND ST, ALBANY, 12210",20040411-01469,0163953,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65928805,-73.75522998,ALBANY,54,SWAN STREET HOMES LLC,11,6,4/30/2007,NEW,65.73-5-33,20,109,46,602018.609873384,4723731.459129276
ARBOR HILL REDEVELOPMENT,"174 3RD ST, ALBANY, 12210",20040411-01469,0163954,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.66205772,-73.75817334,ALBANY,54,SWAN STREET HOMES LLC,11,6,1/31/2007,NEW,65.65-2-42,20,109,46,601772.8574978171,4724035.466213512
ARBOR HILL REDEVELOPMENT,"89 N SWAN ST, ALBANY, 12210",20040411-01469,0163955,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.6575698,-73.75469565,ALBANY,54,SWAN STREET HOMES LLC,11,4,11/30/2006,NEW,65.82-2-59,20,109,46,602065.2135181136,4723541.303008519
ARBOR HILL REDEVELOPMENT,"78 LARK ST, ALBANY, 12210",20040411-01469,0163956,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.66036302,-73.7584358,ALBANY,54,SWAN STREET HOMES LLC,11,2,7/31/2006,NEW,"65.73-5-76, 65.73-5-77",20,109,46,601754.1113855973,4723846.964200476
ARBOR HILL REDEVELOPMENT,"83 LARK ST, ALBANY, 12210",20040411-01469,0163957,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.66031546,-73.75903158,ALBANY,54,SWAN STREET HOMES LLC,11,6,7/31/2006,NEW,"65.73-1-10, 65.73-1-11, 65.73-1-12, 65.73-1-13, 65.73-1-14",20,109,46,601705.360300794,4723840.966000615
ARBOR HILL REDEVELOPMENT,"91 LARK ST, ALBANY, 12210",20040411-01469,0163958,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.66010187,-73.75927068,ALBANY,54,SWAN STREET HOMES LLC,11,2,7/31/2006,NEW,"65.73-1-16, 65.73-1-18",20,109,46,601686.1123584211,4723816.960510171
ARBOR HILL REDEVELOPMENT,"70 LARK DR, ALBANY, 12210",20040411-01469,0163962,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.66059397,-73.75820608,ALBANY,54,SWAN STREET HOMES LLC,11,4,7/31/2006,NEW,65.15-2-2,20,109,46,601772.5619350696,4723872.8863153225
ARBOR HILL REDEVELOPMENT PHASE 3B,"59 N SWAN ST, ALBANY, 12210",20070002-01660,0161841,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65875783,-73.75346837,ALBANY,23,SWAN STREET MIXED USE LLC,7,2,10/14/2008,NEW/REHAB,65.74-4-68,20,109,46,602163.8576007704,4723674.708838698
ARBOR HILL REDEVELOPMENT PHASE 3B,"46-48 N SWAN ST, ALBANY, 12210",20070002-01660,0161842,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65910198,-73.7534246,ALBANY,23,SWAN STREET MIXED USE LLC,7,4,1/26/2009,NEW/REHAB,65.74-3-15,20,109,46,602166.8814615284,4723712.977477502
ARBOR HILL REDEVELOPMENT PHASE 3B,"42 N SWAN ST, ALBANY, 12210",20070002-01660,0161843,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65923193,-73.75338258,ALBANY,23,SWAN STREET MIXED USE LLC,7,2,1/4/2009,NEW/REHAB,65.74-3-15,20,109,46,602170.1125961334,4723727.458410268
ARBOR HILL REDEVELOPMENT PHASE 3B,"41 N SWAN ST, ALBANY, 12210",20070002-01660,0161844,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65930047,-73.75285046,ALBANY,23,SWAN STREET MIXED USE LLC,7,2,1/26/2009,NEW/REHAB,65.74-4-1,20,109,46,602213.6123148098,4723735.712599549
ARBOR HILL REDEVELOPMENT PHASE 3B,"155 CLINTON AVE, ALBANY, 12210",20070002-01660,0161845,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65749996,-73.75518332,ALBANY,23,SWAN STREET MIXED USE LLC,7,3,10/9/2008,NEW/REHAB,65.81-1-18,20,109,46,602025.3577239001,4723532.959062586
ARBOR HILL REDEVELOPMENT PHASE 3B,"50-52 N SWAN ST, ALBANY, 12210",20070002-01660,0170186,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65894216,-73.75359052,ALBANY,23,SWAN STREET MIXED USE LLC,7,6,1/19/2009,NEW/REHAB,65.74-3-15,20,109,46,602153.5444580874,4723695.029942388
ARBOR HILL REDEVELOPMENT PHASE 3B,"45-47 N SWAN ST, ALBANY, 12210",20070002-01660,0170187,ALBANY HOUSING AUTHORITY,NA (Outside NYC),,36001000201,ALBANY CITY SD,10100,42.65911512,-73.75322358,ALBANY,23,SWAN STREET MIXED USE LLC,7,4,12/21/2008,NEW/REHAB,65.74-4-74,20,109,46,602183.3353656109,4723714.679552374
ARBOR HOUSE (AKA FOREST HOUSE),"770 E 166TH ST, BRONX, 10456",20106152-01939,0202012,,2116869,,36005013500,NYC GEOG DIST # 8 - BRONX,320800,40.826073,-73.902243,BRONX,124,FOREST HOUSE LLC,1,124,4/16/2013,NEW,2-2640-50,15,79,32,592566.1420320913,4520029.577555872
ARCADE COUNTRY ESTATES,"101 DOUGLAS DR, ARCADE, 14009",19990013-00966,0097544,"O.D.S MANAGEMENT, INC.",NA (Outside NYC),,36121971000,YORKSHIRE-PIONEER CSD,43501,42.53788036,-78.42786142,WYOMING,24,"ARCADE APARTMENTS PARTNERSHIP, L.P.",3,8,3/31/2001,NEW,183.9-1-16.12,24,147,57,218501.29356050375,4715195.873058644
ARCADE COUNTRY ESTATES,"101 DOUGLAS DR, ARCADE, 14009",19990013-00966,0101093,"O.D.S MANAGEMENT, INC.",NA (Outside NYC),,36121971000,YORKSHIRE-PIONEER CSD,43501,42.53788036,-78.42786142,WYOMING,24,"ARCADE APARTMENTS PARTNERSHIP, L.P.",3,8,3/31/2001,NEW,183.9-1-16.12,24,147,57,218501.29356050375,4715195.873058644
ARCADE COUNTRY ESTATES,"101 DOUGLAS DR, ARCADE, 14009",19990013-00966,0101094,"O.D.S MANAGEMENT, INC.",NA (Outside NYC),,36121971000,YORKSHIRE-PIONEER CSD,43501,42.53788036,-78.42786142,WYOMING,24,"ARCADE APARTMENTS PARTNERSHIP, L.P.",3,8,3/31/2001,NEW,183.9-1-16.12,24,147,57,218501.29356050375,4715195.873058644
ARLINGTON APARTMENTS,"2831 FULTON ST, Brooklyn, 11207",19920598-01261,0040188,"PRECISE REAL ESTATE MGMT, INC.",3087515,,36047114600,NYC GEOG DIST #19 - BROOKLYN,331900,40.67837397,-73.89023689,KINGS,21,"ARLINGTON APARTMENTS, HDFC",3,6,4/17/1996,REHAB,3-3934-45,7,54,18,593785.8835718989,4503646.581986358
ARLINGTON APARTMENTS,"3214 FULTON ST, Brooklyn, 11208",19920598-01261,0040189,"PRECISE REAL ESTATE MGMT, INC.",3092647,,36047117800,NYC GEOG DIST #19 - BROOKLYN,331900,40.682221,-73.876321,KINGS,21,"ARLINGTON APARTMENTS, HDFC",3,11,5/9/1996,REHAB,3-4141-14,7,54,18,594956.4758460948,4504088.570192039
ARLINGTON APARTMENTS,"200 ARLINGTON AVE, Brooklyn, 11207",19920598-01261,0040190,"PRECISE REAL ESTATE MGMT, INC.",3087617,,36047117201,NYC GEOG DIST #19 - BROOKLYN,331900,40.680234,-73.887303,KINGS,21,"ARLINGTON APARTMENTS, HDFC",3,4,4/30/1996,REHAB,3-3938-13,7,54,18,594031.2168237956,4503856.192237852
ARMORY PLAZA,"35 S BROADWAY, WHITE PLAINS, 10601",20070401-01554,0176020,RELATED MANAGEMENT CO.,NA (Outside NYC),,36119009400,WHITE PLAINS CITY SD,662200,41.03134112,-73.76250104,WESTCHESTER,52,ARMORY PLAZA PRESERVATION LP,1,52,11/30/2007,REHAB,125.76-5-11,16,93,37,604027.3763771969,4542973.784276996
ARTSPACE BUFFALO - ARTIST FAMILY LOFTS,"1219 MAIN ST, BUFFALO, 14209",20050294-01598,0157411,BELMONT HOUSING RESOURCES FOR WNY,NA (Outside NYC),,36029016801,BUFFALO CITY SD,140600,42.90687896,-78.86713996,ERIE,60,"ARTSPACE AFFORDABLE FAMILY HSG. I, LP",7,36,7/19/2007,NEW/REHAB,100.55-3-1.1,26,141,63,184302.40767799038,4757732.965066011
ARTSPACE BUFFALO - ARTIST FAMILY LOFTS,"19 NORTHAMPTON ST, BUFFALO, 14209",20050294-01598,0170544,BELMONT HOUSING RESOURCES FOR WNY,NA (Outside NYC),,36029016801,BUFFALO CITY SD,140600,42.90759201,-78.86566431,ERIE,60,"ARTSPACE AFFORDABLE FAMILY HSG. I, LP",7,4,9/25/2007,NEW/REHAB,100.55-3-13,26,141,63,184426.53047514032,4757806.616542277
ARTSPACE BUFFALO - ARTIST FAMILY LOFTS,"19 NORTHAMPTON ST, BUFFALO, 14209",20050294-01598,0170545,BELMONT HOUSING RESOURCES FOR WNY,NA (Outside NYC),,36029016801,BUFFALO CITY SD,140600,42.90759201,-78.86566431,ERIE,60,"ARTSPACE AFFORDABLE FAMILY HSG. I, LP",7,4,9/25/2007,NEW/REHAB,100.55-3-13,26,141,63,184426.53047514032,4757806.616542277
ARTSPACE BUFFALO - ARTIST FAMILY LOFTS,"19 NORTHAMPTON ST, BUFFALO, 14209",20050294-01598,0170546,BELMONT HOUSING RESOURCES FOR WNY,NA (Outside NYC),,36029016801,BUFFALO CITY SD,140600,42.90759201,-78.86566431,ERIE,60,"ARTSPACE AFFORDABLE FAMILY HSG. I, LP",7,4,9/25/2007,NEW/REHAB,100.55-3-13,26,141,63,184426.53047514032,4757806.616542277
ARTSPACE BUFFALO - ARTIST FAMILY LOFTS,"19 NORTHAMPTON ST, BUFFALO, 14209",20050294-01598,0170547,BELMONT HOUSING RESOURCES FOR WNY,NA (Outside NYC),,36029016801,BUFFALO CITY SD,140600,42.90759201,-78.86566431,ERIE,60,"ARTSPACE AFFORDABLE FAMILY HSG. I, LP",7,4,9/25/2007,NEW/REHAB,100.55-3-13,26,141,63,184426.53047514032,4757806.616542277
ARTSPACE BUFFALO - ARTIST FAMILY LOFTS,"19 NORTHAMPTON ST, BUFFALO, 14209",20050294-01598,0170548,BELMONT HOUSING RESOURCES FOR WNY,NA (Outside NYC),,36029016801,BUFFALO CITY SD,140600,42.90759201,-78.86566431,ERIE,60,"ARTSPACE AFFORDABLE FAMILY HSG. I, LP",7,4,9/25/2007,NEW/REHAB,100.55-3-13,26,141,63,184426.53047514032,4757806.616542277
ARTSPACE BUFFALO - ARTIST FAMILY LOFTS,"19 NORTHAMPTON ST, BUFFALO, 14209",20050294-01598,0170549,BELMONT HOUSING RESOURCES FOR WNY,NA (Outside NYC),,36029016801,BUFFALO CITY SD,140600,42.90759201,-78.86566431,ERIE,60,"ARTSPACE AFFORDABLE FAMILY HSG. I, LP",7,4,9/25/2007,NEW/REHAB,100.55-3-13,26,141,63,184426.53047514032,4757806.616542277
ARTSPACE PATCHOGUE LOFTS,"20 TERRY ST, PATCHOGUE, 11772",20096012-01726,0183469,JMD/EINSIDLER MANAGEMENT,NA (Outside NYC),,36103158902,PATCHOGUE-MEDFORD UFSD,580224,40.76413688,-73.01325445,SUFFOLK,45,"ARTSPACE PATCHOGUE LOFTS, L.P.",1,45,1/16/2011,NEW,13.00-6-2,2,7,3,667687.5763600401,4514473.28140361
ASHBURTON SENIOR APARTMENTS,"110 ASHBURTON AVE, YONKERS, 10701",20096103-01764,0187372,"LANDEX MANAGEMENT, LLC",NA (Outside NYC),,36119000501,YONKERS CITY SD,662300,40.93918637,-73.89241198,WESTCHESTER,49,"ASHBURTON AVENUE I, L.P.",1,49,10/10/2011,NEW,2.00-2041-12,16,90,35,593236.245237741,4532596.7508518845
ASTOR ROW,"38 W 130TH ST, NEW YORK, 10027",19920092-01259,0038415,ASTOR ROW HDFC,1053752,,36061020800,NYC GEOG DIST # 5 - MANHATTAN,310500,40.81019545,-73.94177195,NEW YORK,8,ASTOR ROW HDFC,2,4,1/6/1997,REHAB,1-1727-56,13,70,30,589254.167632569,4518226.025451637
ASTOR ROW,"58 W 130TH ST, NEW YORK, 10027",19920092-01259,0038416,ASTOR ROW HDFC,1053762,,36061020800,NYC GEOG DIST # 5 - MANHATTAN,310500,40.81052577,-73.94256198,NEW YORK,8,ASTOR ROW HDFC,2,4,1/6/1997,REHAB,1-1727-66,13,70,30,589187.0906429228,4518261.88968812
ASTORIA SENIOR RESIDENCE,"21-12 30TH RD, QUEENS, 11102",20020668-01365,0122905,HSC MANAGEMENT CORP,4006319,,36081007900,NYC GEOG DIST #30 - QUEENS,343000,40.76873791,-73.92802647,QUEENS,98,VALLONE ASR HDFC,1,98,2/28/2005,NEW,4-550-7,14,36,59,590469.7794100621,4513637.981066524
ATLANTIC AVENUE APARTMENTS,"1825 ATLANTIC AVE, Brooklyn, 11233",20060632-01638,0155714,ISMENE SPELIOTIS,3397596,,36047029900,NYC GEOG DIST #16 - BROOKLYN,331600,40.67738586,-73.92579942,KINGS,150,"1825 ATLANTIC AVENUE, L.P.",1,150,5/31/2009,NEW,3-1710-7501,8,56,20,590781.7864668911,4503499.555467694
ATLANTIC COMMONS 2,"1734 ST JOHNS PL, Brooklyn, 11233",20090071-01799,0203290,,3413800,,36047036100,NYC GEOG DIST #17 - BROOKLYN,331700,40.669757,-73.92015,KINGS,48,ATLANTIC COMMONS CORNERSTONE LP,2,18,10/11/2011,NEW,3-1473-34,9,55,25,591269.6368097796,4502658.5552693
ATLANTIC COMMONS 2,"2158 ATLANTIC AVE, Brooklyn, 11233",20090071-01799,0214122,,3413796,,36047030300,NYC GEOG DIST #23 - BROOKLYN,332300,40.67640734,-73.91522743,KINGS,48,ATLANTIC COMMONS CORNERSTONE LP,2,30,6/27/2012,NEW,3-1433-23,8,55,25,591676.5929053914,4503401.906921159
ATLANTIC EAST (AKA HARRY T. NANCE) APARTMENTS,"1860 EASTERN PKY, Brooklyn, 11233",20166031-02219,0244331,RISEBORO MANAGEMENT CORP,3337899,,36047036502,NYC GEOG DIST #23 - BROOKLYN,332300,40.67589459,-73.90789694,KINGS,67,ATLANTI EAST APARTMENTS LLC,1,67,11/14/2021,NEW,3-1436-1001,8,55,25,592296.8278742149,4503352.660275193
ATLAS HEIGHTS,"20 MONTANA DR, PLATTSBURGH, 12903",20186034-02157,0260986,,NA (Outside NYC),,36019102100,PERU CSD,91101,44.6763421,-73.45198189,CLINTON,40,ATLAS HEIGHTS LIMITED PARTNERSHIP,3,16,8/24/2021,NEW,233.00-5-6,21,115,45,622692.628672342,4948162.635318743
ATLAS HEIGHTS,"20 MONTANA DR, PLATTSBURGH, 12903",20186034-02157,0260987,,NA (Outside NYC),,36019102100,PERU CSD,91101,44.67608594,-73.45137072,CLINTON,40,ATLAS HEIGHTS LIMITED PARTNERSHIP,3,16,8/24/2021,NEW,233.00-5-6,21,115,45,622741.6097401221,4948135.101272157
ATLAS HEIGHTS,"20 MONTANA DR, PLATTSBURGH, 12903",20186034-02157,0260988,,NA (Outside NYC),,36019102100,PERU CSD,91101,44.67603995,-73.45226574,CLINTON,40,ATLAS HEIGHTS LIMITED PARTNERSHIP,3,8,8/24/2021,NEW,233.00-5-6,21,115,45,622670.7688726252,4948128.644602196
ATZEI TIMURIM,"3 NICKELSBURG RD, KIRYAS JOEL, 10950",19980076-01002,0088313,KIRYAS JOEL COMMUNITY HOUSING INC,NA (Outside NYC),,36071015010,KIRYAS JOEL VILLAGE UFSD,441202,41.35115303,-74.17354802,ORANGE,48,"SHAMROCK AFFORDABLE HOUSING ASSOC., L.P.",8,6,2/6/2001,NEW,307.00-1-4.211,18,99,42,569135.9891183589,4578069.007424707
ATZEI TIMURIM,"3 NICKELSBURG RD, KIRYAS JOEL, 10950",19980076-01002,0088314,KIRYAS JOEL COMMUNITY HOUSING INC,NA (Outside NYC),,36071015010,KIRYAS JOEL VILLAGE UFSD,441202,41.35115303,-74.17354802,ORANGE,48,"SHAMROCK AFFORDABLE HOUSING ASSOC., L.P.",8,6,2/6/2001,NEW,307.00-1-4.211,18,99,42,569135.9891183589,4578069.007424707
ATZEI TIMURIM,"1 NICKELSBURG RD, KIRYAS JOEL, 10950",19980076-01002,0088315,KIRYAS JOEL COMMUNITY HOUSING INC,NA (Outside NYC),,36071015010,KIRYAS JOEL VILLAGE UFSD,441202,41.35170919,-74.1742894,ORANGE,48,"SHAMROCK AFFORDABLE HOUSING ASSOC., L.P.",8,6,2/6/2001,NEW,307.00-1-4.211,18,99,42,569073.3812663777,4578130.160258368
