Address,Assembly District (current),BIN (NYC DOB),Building ID,Congressional District (current),County,Floodplain,Housing Company name,HID,Latitude,Longitude,Management Email,Management Name,Management Phone,BBL / Parcel ID,School district name,School district SDL code,State Senate District (current),Status,Total project units,Tract GEOID '20,x,y
"1411 Linden Blvd, Brooklyn, 11212-5154",58,3342488,00003,8,Kings,,Earl W. Jimerson Hsg. Co.,H006,40.65492386,-73.90783941,mblakes@marionscott.com ,"Marion Scott Real Estate, Inc.",(718) 662-0151,3036340001,NYC GEOG DIST #23 - BROOKLYN,332300,19,Active,423,36047092200,-8227383.2061,4961576.692500003
"159 Hawthorne Ave, Yonkers, 10705-1063",89,,00159,16,Westchester,,Sunset Green Housing Corp,H007,40.92723736,-73.90289523,CMonroe@metromanagementdev.com ,"Metro Management Development, Inc.",(718) 593-8943,,YONKERS CITY SD,662300,35,Active,70,36119000103,-8226832.824199997,5001616.331100009
"636 Brooklyn Ave, Brooklyn, 11203-1641",43,3107316,00636,9,Kings,,"Mutual Apartments, Inc.",H008,40.65859451,-73.94549309,vcooper@prestigemgt.com,"Prestige Management, Inc.",(347) 915-0840,3048150037,NYC GEOG DIST #17 - BROOKLYN,331700,20,Active,160,36047081000,-8231574.795999998,4962115.317200005
"30 Monroe St, Manhattan, 10002-7682",65,1077591,0000A,10,New York,500-year,Knickerbocker Village Inc,H009,40.71063347,-73.99498502,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237084.214499995,4969754.616600007
"34 Monroe St, Manhattan, 10002-7682",65,1077591,0000C,10,New York,500-year,Knickerbocker Village Inc,H009,40.71137086,-73.99513624,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237101.048299998,4969862.908000007
"40 Monroe St, Manhattan, 10002-7682",65,1077591,0000F,10,New York,500-year,Knickerbocker Village Inc,H009,40.71081604,-73.99443691,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237023.199200001,4969781.428300001
"10 Monroe St, Manhattan, 10002-7682",65,1077585,0000G,10,New York,100-year,Knickerbocker Village Inc,H009,40.71131754,-73.99581492,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237176.598600002,4969855.077500001
"12 Monroe St, Manhattan, 10002-7682",65,1077585,0000H,10,New York,100-year,Knickerbocker Village Inc,H009,40.71095827,-73.99577034,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237171.636000002,4969802.315800011
"14 Monroe St, Manhattan, 10002-7682",65,1077585,0000I,10,New York,100-year,Knickerbocker Village Inc,H009,40.71054042,-73.99567267,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237160.763400001,4969740.951499999
"16 Monroe St, Manhattan, 10002-7682",65,1077585,0000J,10,New York,100-year,Knickerbocker Village Inc,H009,40.71045687,-73.99610755,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237209.173999997,4969728.681699999
"18 Monroe St, Manhattan, 10002-7682",65,1077585,0000K,10,New York,100-year,Knickerbocker Village Inc,H009,40.71085137,-73.99623062,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237222.8741,4969786.616700001
"32 Monroe St, Manhattan, 10002-7682",65,1077591,0000B,10,New York,,Knickerbocker Village Inc,H009,40.71105993,-73.99502401,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237088.554900002,4969817.245400012
"36 Monroe St, Manhattan, 10002-7682",65,1077591,0000D,10,New York,,Knickerbocker Village Inc,H009,40.71136714,-73.99453003,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237033.565299997,4969862.361699998
"38 Monroe St, Manhattan, 10002-7682",65,1077591,0000E,10,New York,,Knickerbocker Village Inc,H009,40.71108072,-73.99447442,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237027.3747999985,4969820.298600003
"20 Monroe St, Manhattan, 10002-7682",65,1077585,0000L,10,New York,,Knickerbocker Village Inc,H009,40.71125455,-73.99639827,vjp@knickvill.com ,Cherry Green Property Corp.,(212) 227-0955,1002530001,NYC GEOG DIST # 2 - MANHATTAN,310200,27,Active,1589,36061000800,-8237241.536800001,4969845.826900005
"99 Hillside Ave, Manhattan, 10040-2301",72,1064069,00001,13,New York,,INWOOD TERRACE,H012,40.85975474,-73.92687396,JRivera@metromanagementdev.com ,"Metro Management Development, Inc.",(718) 706-7755,1021700140,NYC GEOG DIST # 6 - MANHATTAN,310600,31,Active,205,36061028300,-8229502.124599999,4991678.69600001
"17 Fort George Hl, Manhattan, 10040-2509",72,,00017,13,New York,,"Inwood Heights, Inc.",H013,40.85828223,-73.92747516,adonis.pena@fsresidential.com ,"FirstService Residential New York, Inc.",(212) 569-2550,1021700131,NYC GEOG DIST # 6 - MANHATTAN,310600,31,Active,207,36061028300,-8229569.049899995,4991461.964000002
"330 S Regent St, Port Chester, 10573-4739",91,,00330,16,Westchester,,Park Regents Apartments,H015,40.99571166,-73.67489615,charlesrosabella@aol.com ,Century 21 Rosabella Realty,(914) 937-5192,,PORT CHESTER-RYE UFSD,661904,37,Active,90,36119007901,-8201452.074999999,5011710.3829
"340 S Regent St, Port Chester, 10573-4739",91,,00340,16,Westchester,,Park Regents Apartments,H015,40.99545297,-73.67458228,charlesrosabella@aol.com ,Century 21 Rosabella Realty,(914) 937-5192,,PORT CHESTER-RYE UFSD,661904,37,Active,90,36119007901,-8201417.135099998,5011672.228700012
"350 S Regent St, Port Chester, 10573-4739",91,,00350,16,Westchester,,Park Regents Apartments,H015,40.9951299,-73.67412284,charlesrosabella@aol.com ,Century 21 Rosabella Realty,(914) 937-5192,,PORT CHESTER-RYE UFSD,661904,37,Active,90,36119007901,-8201365.990500001,5011624.579300001
"162-01 71 St, Queens, 11365-4240",27,,00001,6,Queens,,Electchester First Hsg Co,H015A,40.73063844,-73.80721798,jcapasso@electmgt.com ,Electchester First Hsg Co,(718) 591-6303,4067890015,NYC GEOG DIST #25 - QUEENS,342500,16,Active,382,36081122704,-8216182.076699996,4972692.928000003
"161-06 Harry Van Arsdale Jr. Ave, Queens, 11365-4346",27,4451559,00002,6,Queens,,Electchester First Hsg Co,H015A,40.73090742,-73.80825037,jcapasso@electmgt.com ,Electchester First Hsg Co,(718) 591-6303,4067890015,NYC GEOG DIST #25 - QUEENS,342500,16,Active,382,36081122704,-8216297.001800001,4972732.441500001
"159-21 71 Ave, Queens, 11365-3062",27,4451567,00003,6,Queens,,Electchester First Hsg Co,H015A,40.73057273,-73.80939091,jcapasso@electmgt.com ,Electchester First Hsg Co,(718) 591-6303,4067890015,NYC GEOG DIST #25 - QUEENS,342500,16,Active,382,36081122704,-8216423.9662,4972683.275100008
"158-40 Harry Van Arsdale Jr. Ave, Queens, 11365-3068",27,4451555,00004,6,Queens,,Electchester First Hsg Co,H015A,40.73187304,-73.80930373,jcapasso@electmgt.com ,Electchester First Hsg Co,(718) 591-6303,4067890015,NYC GEOG DIST #25 - QUEENS,342500,16,Active,382,36081122704,-8216414.261399999,4972874.293800004
"161-02 Harry Van Arsdale Jr. Ave, Queens, 11365-4359",27,4451557,00005,6,Queens,,Electchester First Hsg Co,H015A,40.73160946,-73.8083757,jcapasso@electmgt.com ,Electchester First Hsg Co,(718) 591-6303,4067890015,NYC GEOG DIST #25 - QUEENS,342500,16,Active,382,36081122704,-8216310.953499999,4972835.572900005
"161-10 Harry Van Arsdale Jr. Ave, Queens, 11365-4356",27,4451561,00006,6,Queens,,Electchester First Hsg Co,H015A,40.73155145,-73.80760597,jcapasso@electmgt.com ,Electchester First Hsg Co,(718) 591-6303,4067890015,NYC GEOG DIST #25 - QUEENS,342500,16,Active,382,36081122704,-8216225.2675,4972827.051100008
"161-30 Harry Van Arsdale Jr. Ave, Queens, 11365-4350",27,4451563,00007,6,Queens,,Electchester First Hsg Co,H015A,40.7315076,-73.80659158,jcapasso@electmgt.com ,Electchester First Hsg Co,(718) 591-6303,4067890015,NYC GEOG DIST #25 - QUEENS,342500,16,Active,382,36081122704,-8216112.346100001,4972820.609400004
"161-25 Harry Van Arsdale Jr. Ave, Queens, 11365-4351",27,4455454,00001,6,Queens,,Electchester Second Hsg,H015B,40.7320795,-73.80704607,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8216162.939800002,4972904.623599999
"161-51 Harry Van Arsdale Jr. Ave, Queens, 11365-4353",27,4455457,00002,6,Queens,,Electchester Second Hsg,H015B,40.73198258,-73.80597456,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8216043.659800002,4972890.385700002
"69-10 164 St, Queens, 11365-3165",27,4455447,00003,6,Queens,,Electchester Second Hsg,H015B,40.73270387,-73.8055061,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8215991.511000002,4972996.346700005
"67-50 164 St, Queens, 11365-3176",27,4455445,00004,6,Queens,,Electchester Second Hsg,H015B,40.73312637,-73.80540861,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8215980.658500001,4973058.414500013
"67-40 164 St, Queens, 11365-3175",27,4455441,00005,6,Queens,,Electchester Second Hsg,H015B,40.73381348,-73.80584115,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8216028.808599999,4973159.355999999
"67-30 164 St, Queens, 11365-3173",27,4455440,00006,6,Queens,,Electchester Second Hsg,H015B,40.73409733,-73.80530956,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8215969.632299997,4973201.056000009
"67-06 164 St, Queens, 11365-3172",27,4455444,00007,6,Queens,,Electchester Second Hsg,H015B,40.73481103,-73.80521133,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8215958.697400002,4973305.905299999
"65-69 162 St, Queens, 11365-2663",27,4455464,00008,6,Queens,,Electchester Second Hsg,H015B,40.73479763,-73.80635185,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8216085.659499995,4973303.936700009
"65-85 162 St, Queens, 11365-2665",27,4455466,00009,6,Queens,,Electchester Second Hsg,H015B,40.73398604,-73.80671231,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8216125.785799997,4973184.706500001
"67-11 161 St, Queens, 11365-3167",27,4455452,00010,6,Queens,,Electchester Second Hsg,H015B,40.73346811,-73.80746163,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8216209.1997,4973108.618500009
"67-25 161 St, Queens, 11365-3168",27,4455453,00011,6,Queens,,Electchester Second Hsg,H015B,40.7330368,-73.80727245,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8216188.1403,4973045.256100006
"67-47 161 St, Queens, 11365-3170",27,4455460,00012,6,Queens,,Electchester Second Hsg,H015B,40.73232679,-73.80758295,jcapasso@electmgt.com ,Electchester Second Hsg Co,(718) 591-0330,4067920600,NYC GEOG DIST #25 - QUEENS,342500,16,Active,688,36081122703,-8216222.7049999945,4972940.9516
"158-39 Harry Van Arsdale Jr. Ave, Queens, 11365-3059",27,4455394,00001,6,Queens,,Electchester Third Hsg Co,H015C,40.73248206,-73.80928016,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216411.637599997,4972963.761600018
"67-46 161 St, Queens, 11365-3166",27,4455393,00002,6,Queens,,Electchester Third Hsg Co,H015C,40.73237015,-73.80824253,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216296.1291000005,4972947.321400009
"67-30, 67-24 161 St, Queens, 11365-3179",27,,00003,6,Queens,,Electchester Third Hsg Co,H015C,40.73271483,-73.80845236,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216319.487300001,4972997.956700005
"67-10 161 St, Queens, 11365-3163",27,4455389,00004,6,Queens,,Electchester Third Hsg Co,H015C,40.73347564,-73.80826739,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216298.896500001,4973109.724700011
"65-90 160 St, Queens, 11365-2564",27,4455386,00005,6,Queens,,Electchester Third Hsg Co,H015C,40.73408318,-73.80887489,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216366.5231,4973198.9772000015
"65-76 160 St, Queens, 11365-2562",27,4455383,00006,6,Queens,,Electchester Third Hsg Co,H015C,40.73479984,-73.80918659,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216401.221399996,4973304.261299998
"65-46 160 St, Queens, 11365-2560",27,4455381,00007,6,Queens,,Electchester Third Hsg Co,H015C,40.7356291,-73.80910437,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216392.068799995,4973426.0889
"65-43 Parsons Blvd, Queens, 11365-2443",27,4455400,00008,6,Queens,,Electchester Third Hsg Co,H015C,40.73583672,-73.81006746,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216499.2795,4973456.590900004
"65-59 Parsons Blvd, Queens, 11365-2439",27,4455402,00009,6,Queens,,Electchester Third Hsg Co,H015C,40.73521902,-73.81014608,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216508.031400001,4973365.8434000015
"65-77 Parsons Blvd, Queens, 11365-2441",27,4455407,00010,6,Queens,,Electchester Third Hsg Co,H015C,40.7348053,-73.81015282,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216508.781699998,4973305.063500002
"67-11 Parsons Blvd, Queens, 11365-2961",27,4455410,00011,6,Queens,,Electchester Third Hsg Co,H015C,40.73408919,-73.81029109,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216524.173899997,4973199.860100001
"65-17 Parsons Blvd, Queens, 11365-2445",27,4455397,00012,6,Queens,,Electchester Third Hsg Co,H015C,40.7364824,-73.8101619,acaiozzo@electmgt.com ,Electchester Third Hsg Co,(718) 591-3200,4067900001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,792,36081122703,-8216509.792499999,4973551.449800007
"65-47 160 St, Queens, 11365-2557",27,4451583,00001,6,Queens,,Electchester Fourth Hsg,H015E,40.7356365,-73.80855018,acaiozzo@electmgt.com ,Electchester Fourth Hsg Co,(718) 591-3636,4067910001,NYC GEOG DIST #25 - QUEENS,342500,16,Active,362,36081122703,-8216330.376599999,4973427.176100001
